Draw Date,Winning Numbers,Mega Ball
06/13/2025,08 10 22 40 47,01
06/10/2025,10 11 14 38 45,24
06/06/2025,16 40 54 56 57,03
06/03/2025,16 24 29 36 45,13
05/30/2025,02 28 37 38 58,13
05/27/2025,06 28 34 48 62,09
05/23/2025,07 18 40 55 68,18
05/20/2025,18 30 33 55 64,11
05/16/2025,02 22 42 62 66,14
05/13/2025,06 29 33 47 68,20
05/09/2025,09 10 12 48 60,16
05/06/2025,16 17 43 46 58,16
05/02/2025,14 37 40 41 68,02
04/29/2025,16 33 40 51 57,10
04/25/2025,38 40 60 62 70,09
04/22/2025,25 39 49 52 65,22
04/18/2025,05 13 15 17 28,01
04/15/2025,06 10 13 24 63,02
04/11/2025,15 37 38 56 58,19
04/08/2025,10 16 50 60 61,17
04/04/2025,11 28 35 37 69,25
04/01/2025,11 12 21 29 49,03
03/28/2025,02 09 31 60 63,23
03/25/2025,01 05 17 39 62,08
03/21/2025,15 22 31 52 57,02
03/18/2025,27 28 31 32 33,24
03/14/2025,03 17 39 42 70,01
03/11/2025,01 19 26 38 69,15
03/07/2025,08 20 48 58 60,07
03/04/2025,14 19 47 52 70,06
02/28/2025,09 19 30 35 66,16
02/25/2025,04 08 11 32 52,13
02/21/2025,01 13 28 37 46,10
02/18/2025,01 20 25 58 61,22
02/14/2025,11 19 31 49 56,16
02/11/2025,07 30 39 41 70,13
02/07/2025,04 24 32 41 55,16
02/04/2025,14 24 31 53 54,01
01/31/2025,09 28 48 56 63,02
01/28/2025,10 19 31 47 56,06
01/24/2025,08 12 43 52 62,18
01/21/2025,27 30 56 64 65,22
01/17/2025,08 10 37 54 69,22
01/14/2025,04 14 35 49 62,06
01/10/2025,09 23 39 65 66,22
01/07/2025,20 24 33 39 48,18
01/03/2025,20 42 46 59 69,19
12/31/2024,13 22 27 29 35,01
12/27/2024,03 07 37 49 55,06
12/24/2024,11 14 38 45 46,03
12/20/2024,02 20 51 56 67,19
12/17/2024,56 66 67 68 69,18
12/13/2024,36 43 52 58 65,16
12/10/2024,12 14 26 48 52,21
12/06/2024,16 21 33 39 45,24
12/03/2024,52 60 61 66 67,23
11/29/2024,03 29 34 37 38,17
11/26/2024,05 22 24 39 42,03
11/22/2024,13 20 26 32 65,02
11/19/2024,05 35 50 51 59,08
11/15/2024,05 17 35 55 69,19
11/12/2024,18 31 33 64 68,17
11/08/2024,25 28 42 64 69,19
11/05/2024,02 24 25 52 58,09
11/01/2024,11 22 42 46 51,04
10/29/2024,16 22 26 36 56,01
10/25/2024,23 26 35 41 43,07
10/22/2024,08 43 48 58 60,04
10/18/2024,04 09 26 39 58,23
10/15/2024,22 34 44 54 62,03
10/11/2024,03 10 29 52 57,20
10/08/2024,03 19 20 22 66,09
10/04/2024,21 39 42 43 45,03
10/01/2024,27 35 47 50 66,25
09/27/2024,29 46 53 69 70,23
09/24/2024,01 06 10 23 27,18
09/20/2024,20 21 40 49 55,11
09/17/2024,14 31 48 57 64,09
09/13/2024,21 55 56 57 66,01
09/10/2024,01 02 16 24 66,06
09/06/2024,06 23 41 59 63,25
09/03/2024,12 41 43 52 55,09
08/30/2024,10 17 20 24 54,08
08/27/2024,16 18 21 54 65,05
08/23/2024,28 30 44 66 69,02
08/20/2024,05 20 26 49 51,24
08/16/2024,22 38 48 51 61,05
08/13/2024,34 55 59 65 70,12
08/09/2024,12 32 38 40 57,21
08/06/2024,23 29 36 61 70,22
08/02/2024,06 07 24 44 54,13
07/30/2024,19 23 30 33 50,25
07/26/2024,02 14 33 58 65,03
07/23/2024,03 09 14 26 51,21
07/19/2024,10 17 23 50 67,03
07/16/2024,05 35 42 58 66,22
07/12/2024,15 35 48 53 68,08
07/09/2024,21 26 54 60 64,03
07/05/2024,06 15 32 54 67,04
07/02/2024,04 08 19 31 45,11
